time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-24T20:21:29.160Z,-55.3868,-28.5415,49.33,5.4,mb,,67,4.725,1.24,us,usb000s5w9,2014-08-24T23:50:48.425Z,"168km NNW of Visokoi Island, ",earthquake
2014-08-24T19:43:31.190Z,37.6685,30.593,10,5.2,mb,,43,0.186,1.07,us,usb000s5w4,2014-08-25T08:52:07.247Z,"5km ENE of Aglasun, Turkey",earthquake
2014-08-24T19:01:59.240Z,51.6226,177.0943,70.34,4.5,mb,,186,1.4,1.08,us,usb000s5vx,2014-08-25T00:08:15.186Z,"63km SSW of Kiska Volcano, Alaska",earthquake
2014-08-24T16:16:01.600Z,19.1275,-64.6065,47,2.9,Md,9,288,0.70607581,0.1,pr,pr14236001,2014-08-24T18:33:40.000Z,"78km N of Road Town, British Virgin Islands",earthquake
2014-08-24T15:10:48.700Z,38.2232,-122.3237,8.9,2.6,Md,62,86.4,0.02694946,0.1,nc,nc72283366,2014-08-25T15:05:45.999Z,"7km NW of American Canyon, California",earthquake
2014-08-24T15:00:13.100Z,64.5055,-17.5005,8.78,4.8,mb,,73,1.666,0.55,us,usb000s5v5,2014-08-24T19:10:02.169Z,"114km WNW of Hofn, Iceland",earthquake
2014-08-24T14:54:23.700Z,38.2032,-122.3392,9.9,2.8,Md,74,79.2,0.01796631,0.17,nc,nc72283346,2014-08-25T06:07:57.682Z,"7km WNW of American Canyon, California",earthquake
2014-08-24T14:39:59.190Z,-20.8338,-68.9879,114.22,4.6,mb,,71,0.511,0.87,us,usb000s5uy,2014-08-24T16:29:31.796Z,"138km ESE of Iquique, Chile",earthquake
2014-08-24T14:22:19.700Z,38.239,-122.3477,8.9,2.5,Md,57,72,0.12576414,0.12,nc,nc72283306,2014-08-25T12:11:23.866Z,"8km SW of Napa, California",earthquake
2014-08-24T12:48:44.000Z,51.5437,-175.8043,34.3,3.2,ml,,,,0.64,ak,ak11366934,2014-08-25T00:09:14.236Z,"69km ESE of Adak, Alaska",earthquake
2014-08-24T12:47:12.500Z,38.238,-122.3483,8.5,3.6,Mw,127,28.8,0.01796631,0.17,nc,nc72283201,2014-08-25T14:18:08.392Z,"8km SW of Napa, California",earthquake
2014-08-24T12:01:20.500Z,38.2317,-122.335,10,2.5,Md,52,93.6,0.12576414,0.1,nc,nc72283121,2014-08-25T11:52:19.546Z,"8km SSW of Napa, California",earthquake
2014-08-24T11:15:50.480Z,-5.5236,147.0757,198.88,4.7,mb,,75,3.856,1.18,us,usb000s5u6,2014-08-25T11:42:48.168Z,"132km N of Lae, Papua New Guinea",earthquake
2014-08-24T10:49:48.000Z,61.2073,-152.7055,10,2.6,ml,,,,0.79,ak,ak11366730,2014-08-24T11:11:57.023Z,"80km N of Redoubt Volcano, Alaska",earthquake
2014-08-24T10:24:44.200Z,38.2588,-122.3433,10.5,3.5,Ml,93,100.8,0.04491576,0.11,nc,nc72282751,2014-08-25T08:16:27.245Z,"6km SW of Napa, California",earthquake
2014-08-24T10:20:44.000Z,38.2202,-122.3128,11.3,6,Mw,146,28.8,0.03593261,0.16,nc,nc72282711,2014-08-25T18:04:27.173Z,"6km NW of American Canyon, California",earthquake
2014-08-24T10:18:00.000Z,51.6826,178.7023,79.3,2.5,ml,,,,0.36,ak,ak11366634,2014-08-25T00:24:55.358Z,"32km SSE of Little Sitkin Island, Alaska",earthquake
2014-08-24T09:59:20.400Z,21.0667,-155.616,17.4,3.3,ml,,230.399981568001,0.6647533,0.31,hv,hv60756346,2014-08-25T09:04:02.491Z,"51km NE of Hana, Hawaii",earthquake
2014-08-24T09:20:27.960Z,-22.8235,179.5558,594.64,4.5,mb,,90,5.245,0.68,us,usb000s5th,2014-08-25T11:35:23.616Z,"300km SW of Ndoi Island, Fiji",earthquake
2014-08-24T09:04:03.700Z,27.4259,142.7984,36.21,4.5,mb,,126,0.637,0.65,us,usb000s5tg,2014-08-24T09:27:15.000Z,"68km ENE of Chichi-shima, Japan",earthquake
2014-08-24T08:26:51.430Z,36.0026,139.8243,82.22,4.7,mb,,116,1.417,0.73,us,usb000s5tb,2014-08-25T06:17:39.228Z,"7km ENE of Kasukabe, Japan",earthquake
